,St_01,St_02,St_03,St_04,St_05,St_06,St_07,St_08,St_09,St_10,St_11,St_12,St_13,St_14,St_15,St_16,St_17,St_18
39.7,253.76,241.9,276.03,240.26,240.35,243.69,249.68,246.35,248.01,249.41,244.39,248.95,249.2,250.54,264.72,234.06,235.72,229.96
40.7,254.3,243.27,276.22,241.61,241.75,245.11,250.32,246.69,247.43,249.14,243.83,248.79,248.59,248.99,264.75,233,234.38,228.81
41.7,254.64,244.64,276.24,242.8,243.07,246.51,250.86,246.96,246.84,248.81,243.25,248.49,247.91,247.41,264.75,231.96,233.11,227.67
42.7,254.8,245.98,276.1,243.87,244.31,247.84,251.3,247.16,246.27,248.41,242.67,248.02,247.18,245.81,264.67,230.96,231.89,226.55
43.7,254.83,247.27,275.82,244.83,245.47,249.06,251.67,247.28,245.71,247.93,242.13,247.39,246.38,244.24,264.5,230,230.71,225.47
44.7,254.76,248.5,275.45,245.7,246.56,250.13,251.96,247.26,245.18,247.37,241.67,246.66,245.49,242.71,264.26,229.08,229.6,224.44
45.7,254.58,249.63,274.98,246.47,247.55,251.03,252.17,247.09,244.66,246.74,241.27,245.9,244.51,241.25,263.92,228.2,228.56,223.46
46.7,254.3,250.68,274.42,247.11,248.39,251.76,252.27,246.78,244.15,246.04,240.89,245.21,243.44,239.89,263.43,227.36,227.6,222.55
47.6,253.96,251.61,273.77,247.62,249.06,252.29,252.23,246.38,243.66,245.29,240.49,244.61,242.32,238.64,262.75,226.56,226.72,221.69
48.6,253.56,252.42,273.03,247.99,249.55,252.63,252.08,245.93,243.2,244.51,240.07,244.04,241.17,237.55,261.83,225.83,225.92,220.87
49.6,253.12,253.1,272.19,248.27,249.89,252.78,251.87,245.43,242.75,243.68,239.62,243.44,240,236.64,260.66,225.17,225.21,220.11
50.6,252.63,253.64,271.25,248.51,250.12,252.76,251.58,244.9,242.28,242.83,239.16,242.8,238.81,235.91,259.22,224.58,224.59,219.36
51.6,252.12,254.05,270.2,248.76,250.29,252.59,251.2,244.34,241.78,241.95,238.69,242.21,237.62,235.32,257.55,224.04,224.04,218.63
52.6,251.6,254.35,269.07,248.99,250.47,252.3,250.69,243.73,241.25,241.06,238.21,241.73,236.44,234.83,255.68,223.54,223.56,217.89
53.6,251.07,254.55,267.86,249.14,250.64,251.91,250.06,243.06,240.66,240.16,237.68,241.4,235.28,234.43,253.67,223.08,223.14,217.13
54.6,250.51,254.65,266.57,249.2,250.74,251.44,249.34,242.39,240.03,239.26,237.07,241.18,234.14,234.08,251.58,222.66,222.79,216.33
55.6,249.9,254.64,265.2,249.19,250.74,250.91,248.57,241.72,239.35,238.36,236.37,240.93,233.05,233.78,249.44,222.28,222.47,215.49
56.6,249.24,254.51,263.75,249.15,250.68,250.32,247.76,241.1,238.62,237.46,235.59,240.56,232.03,233.51,247.28,221.94,222.19,214.59
57.6,248.55,254.27,262.26,249.09,250.62,249.69,246.93,240.51,237.82,236.56,234.76,240.06,231.11,233.27,245.15,221.64,221.94,213.65
58.6,247.84,253.95,260.74,249,250.55,249.04,246.09,239.96,236.97,235.64,233.9,239.47,230.26,233.05,243.1,221.37,221.71,212.7
59.6,247.09,253.56,259.19,248.88,250.45,248.39,245.27,239.42,236.06,234.71,233.01,238.9,229.48,232.8,241.17,221.11,221.48,211.75
60.5,246.31,253.12,257.61,248.72,250.32,247.77,244.46,238.84,235.11,233.8,232.13,238.31,228.77,232.51,239.4,220.86,221.27,210.79
61.5,245.49,252.62,256.04,248.51,250.11,247.16,243.71,238.24,234.13,232.89,231.25,237.61,228.14,232.15,237.81,220.62,221.06,209.84
62.5,244.62,252.02,254.49,248.25,249.82,246.53,243.01,237.61,233.15,232.01,230.37,236.72,227.58,231.74,236.39,220.39,220.87,208.9
63.5,243.71,251.31,252.96,247.93,249.42,245.89,242.37,236.99,232.18,231.16,229.48,235.62,227.08,231.31,235.13,220.18,220.69,207.99
64.5,242.77,250.49,251.47,247.58,248.96,245.22,241.77,236.38,231.21,230.36,228.6,234.3,226.62,230.86,234.02,219.96,220.52,207.12
65.5,241.81,249.59,250,247.21,248.47,244.54,241.19,235.74,230.27,229.62,227.73,232.84,226.21,230.43,233.03,219.74,220.36,206.31
66.5,240.86,248.68,248.59,246.8,247.97,243.85,240.62,235.05,229.36,228.96,226.89,231.34,225.85,230,232.13,219.52,220.19,205.55
67.5,239.91,247.77,247.22,246.36,247.46,243.14,240.07,234.3,228.48,228.37,226.05,229.85,225.53,229.53,231.32,219.29,220.03,204.84
68.5,238.97,246.83,245.89,245.88,246.92,242.38,239.53,233.48,227.65,227.85,225.22,228.36,225.23,229.02,230.56,219.07,219.86,204.16
69.5,238.03,245.81,244.61,245.35,246.33,241.55,238.98,232.61,226.86,227.42,224.4,226.84,224.95,228.46,229.85,218.85,219.69,203.46
70.5,237.07,244.74,243.4,244.75,245.7,240.62,238.42,231.75,226.13,227.06,223.6,225.25,224.69,227.87,229.15,218.63,219.52,202.7
71.5,236.11,243.62,242.26,244.1,245.04,239.58,237.81,230.93,225.48,226.75,222.8,223.7,224.45,227.3,228.47,218.41,219.35,201.89
72.5,235.14,242.51,241.17,243.39,244.35,238.45,237.15,230.16,224.91,226.49,222,222.31,224.21,226.75,227.79,218.18,219.19,201.02
73.4,234.17,241.49,240.1,242.64,243.65,237.3,236.45,229.39,224.4,226.26,221.18,221.12,223.98,226.23,227.13,217.94,219.01,200.08
74.4,233.19,240.59,239.04,241.87,242.94,236.15,235.72,228.62,223.94,226.05,220.37,220.08,223.75,225.74,226.5,217.73,218.83,199.06
75.4,232.2,239.78,237.98,241.09,242.23,234.98,234.97,227.83,223.5,225.84,219.6,219.18,223.54,225.27,225.9,217.53,218.64,197.95
76.4,231.2,239.01,236.9,240.3,241.52,233.77,234.23,227.11,223.08,225.63,218.88,218.4,223.34,224.81,225.33,217.34,218.43,196.75
77.4,230.2,238.23,235.81,239.47,240.8,232.52,233.46,226.46,222.67,225.4,218.19,217.75,223.14,224.38,224.78,217.13,218.21,195.49
78.4,229.19,237.44,234.71,238.59,240.06,231.26,232.69,225.86,222.29,225.15,217.55,217.23,222.94,224.03,224.27,216.9,217.98,194.16
79.4,228.19,236.68,233.58,237.66,239.3,230.05,231.93,225.3,221.93,224.9,216.95,216.82,222.75,223.81,223.8,216.68,217.73,192.78
80.4,227.19,235.97,232.42,236.72,238.54,228.92,231.19,224.75,221.59,224.63,216.38,216.48,222.58,223.69,223.38,216.45,217.47,191.41
81.4,226.22,235.3,231.23,235.81,237.77,227.88,230.5,224.21,221.25,224.34,215.83,216.21,222.41,223.64,223.01,216.24,217.21,190.07
82.4,225.27,234.65,230,234.92,237.03,226.93,229.85,223.68,220.88,224.02,215.31,215.96,222.24,223.61,222.68,216.05,216.93,188.8
83.4,224.34,233.96,228.74,234.05,236.27,226.05,229.25,223.18,220.47,223.68,214.83,215.69,222.09,223.61,222.38,215.88,216.63,187.61
84.4,223.43,233.2,227.51,233.19,235.46,225.21,228.7,222.73,220.05,223.31,214.41,215.41,221.95,223.62,222.11,215.71,216.31,186.52
85.4,222.55,232.35,226.32,232.35,234.59,224.4,228.2,222.31,219.61,222.91,214.03,215.13,221.84,223.65,221.86,215.53,215.99,185.56
86.3,221.69,231.43,225.2,231.53,233.66,223.64,227.76,221.91,219.21,222.48,213.67,214.89,221.76,223.7,221.63,215.33,215.67,184.73
87.3,220.86,230.47,224.16,230.74,232.67,222.95,227.36,221.5,218.83,222.02,213.32,214.64,221.68,223.76,221.41,215.13,215.35,184.03
